date,agency_cd,site_no,CFS,status
1989-08-01,USGS,06043500,616,A
1989-08-02,USGS,06043500,614,A
1989-08-03,USGS,06043500,577,A
1989-08-04,USGS,06043500,563,A
1989-08-05,USGS,06043500,548,A
1989-08-06,USGS,06043500,537,A
1989-08-07,USGS,06043500,529,A
1989-08-08,USGS,06043500,525,A
1989-08-09,USGS,06043500,532,A
1989-08-10,USGS,06043500,563,A
1989-08-11,USGS,06043500,563,A
1989-08-12,USGS,06043500,533,A
1989-08-13,USGS,06043500,547,A
1989-08-14,USGS,06043500,520,A
1989-08-15,USGS,06043500,502,A
1989-08-16,USGS,06043500,488,A
1989-08-17,USGS,06043500,473,A
1989-08-18,USGS,06043500,467,A
1989-08-19,USGS,06043500,508,A
1989-08-20,USGS,06043500,520,A
1989-08-21,USGS,06043500,515,A
1989-08-22,USGS,06043500,485,A
1989-08-23,USGS,06043500,465,A
1989-08-24,USGS,06043500,472,A
1989-08-25,USGS,06043500,492,A
1989-08-26,USGS,06043500,500,A
1989-08-27,USGS,06043500,473,A
1989-08-28,USGS,06043500,497,A
1989-08-29,USGS,06043500,467,A
1989-08-30,USGS,06043500,463,A
1989-08-31,USGS,06043500,438,A
1989-09-01,USGS,06043500,432,A
1989-09-02,USGS,06043500,423,A
1989-09-03,USGS,06043500,425,A
1989-09-04,USGS,06043500,415,A
1989-09-05,USGS,06043500,407,A
1989-09-06,USGS,06043500,410,A
1989-09-07,USGS,06043500,427,A
1989-09-08,USGS,06043500,411,A
1989-09-09,USGS,06043500,419,A
1989-09-10,USGS,06043500,420,A
1989-09-11,USGS,06043500,420,A
1989-09-12,USGS,06043500,408,A
1989-09-13,USGS,06043500,401,A
1989-09-14,USGS,06043500,395,A
1989-09-15,USGS,06043500,388,A
1989-09-16,USGS,06043500,382,A
1989-09-17,USGS,06043500,384,A
1989-09-18,USGS,06043500,437,A
1989-09-19,USGS,06043500,408,A
1989-09-20,USGS,06043500,393,A
1989-09-21,USGS,06043500,385,A
1989-09-22,USGS,06043500,380,A
1989-09-23,USGS,06043500,377,A
1989-09-24,USGS,06043500,372,A
1989-09-25,USGS,06043500,368,A
1989-09-26,USGS,06043500,361,A
1989-09-27,USGS,06043500,383,A
1989-09-28,USGS,06043500,435,A
1989-09-29,USGS,06043500,393,A
1989-09-30,USGS,06043500,379,A
1989-10-01,USGS,06043500,485,A
1989-10-02,USGS,06043500,507,A
1989-10-03,USGS,06043500,450,A
1989-10-04,USGS,06043500,456,A
1989-10-05,USGS,06043500,444,A
1989-10-06,USGS,06043500,445,A
1989-10-07,USGS,06043500,439,A
1989-10-08,USGS,06043500,433,A
1989-10-09,USGS,06043500,440,A
1989-10-10,USGS,06043500,432,A
1989-10-11,USGS,06043500,441,A
1989-10-12,USGS,06043500,435,A
1989-10-13,USGS,06043500,430,A
1989-10-14,USGS,06043500,413,A
1989-10-15,USGS,06043500,402,A
1989-10-16,USGS,06043500,384,A
1989-10-17,USGS,06043500,369,A
