date,TAVG_origQcFlag,TAVG_origValue,TAVG_qaFlag,TAVG_qcFlag,TAVG_value,WTEQ_average,WTEQ_origQcFlag,WTEQ_origValue,WTEQ_qaFlag,WTEQ_qcFlag,WTEQ_value,CFS,unit_of_measure,status
1990-01-01,V,19.2,,V,19.2,9.9,V,11.4,,V,11.4,275,ft^3/s,Approved
1990-01-02,V,10.9,,V,10.9,10.0,V,11.8,,V,11.8,290,ft^3/s,Approved
1990-01-03,V,3.9,,V,3.9,10.1,V,11.8,,V,11.8,258,ft^3/s,Approved
1990-01-04,V,11.5,,V,11.5,10.2,V,12.0,,V,12.0,249,ft^3/s,Approved
1990-01-05,V,14.5,,V,14.5,10.3,V,12.0,,V,12.0,269,ft^3/s,Approved
1990-01-06,V,22.5,,V,22.5,10.4,V,12.1,,V,12.1,282,ft^3/s,Approved
1990-01-07,V,25.0,,V,25.0,10.6,V,12.3,,V,12.3,279,ft^3/s,Approved
1990-01-08,V,22.6,,V,22.6,10.7,V,12.6,,V,12.6,294,ft^3/s,Approved
1990-01-09,V,28.2,,V,28.2,10.8,E,12.6,,E,12.6,287,ft^3/s,Approved
1990-01-10,V,27.7,,V,27.7,11.0,V,12.6,,V,12.6,288,ft^3/s,Approved
1990-01-11,V,13.6,,V,13.6,11.2,V,12.6,,V,12.6,284,ft^3/s,Approved
1990-01-12,V,27.0,,V,27.0,11.2,V,12.7,,V,12.7,268,ft^3/s,Approved
1990-01-13,V,26.4,,V,26.4,11.3,V,12.7,,V,12.7,270,ft^3/s,Approved
1990-01-14,V,23.4,,V,23.4,11.4,V,12.8,,V,12.8,287,ft^3/s,Approved
1990-01-15,V,19.8,,V,19.8,11.5,V,13.1,,V,13.1,290,ft^3/s,Approved
1990-01-16,V,15.3,,V,15.3,11.6,E,13.3,,E,13.3,292,ft^3/s,Approved
1990-01-17,V,2.3,,V,2.3,11.8,V,13.3,,V,13.3,278,ft^3/s,Approved
1990-01-18,V,2.1,,V,2.1,11.9,E,13.3,,E,13.3,220,ft^3/s,Approved
1990-01-19,V,6.6,,V,6.6,12.0,V,13.3,,V,13.3,219,ft^3/s,Approved
1990-01-20,V,10.6,,V,10.6,12.1,V,13.4,,V,13.4,240,ft^3/s,Approved
1990-01-21,V,22.6,,V,22.6,12.2,V,13.5,,V,13.5,256,ft^3/s,Approved
1990-01-22,V,20.8,,V,20.8,12.3,V,13.5,,V,13.5,272,ft^3/s,Approved
1990-01-23,V,12.2,,V,12.2,12.4,V,14.0,,V,14.0,276,ft^3/s,Approved
1990-01-24,V,9.3,,V,9.3,12.5,V,14.0,,V,14.0,271,ft^3/s,Approved
1990-01-25,V,18.3,,V,18.3,12.6,V,14.2,,V,14.2,273,ft^3/s,Approved
1990-01-26,V,9.3,,V,9.3,12.7,V,14.4,,V,14.4,274,ft^3/s,Approved
1990-01-27,V,5.0,,V,5.0,12.9,V,14.4,,V,14.4,256,ft^3/s,Approved
1990-01-28,V,13.3,,V,13.3,12.9,V,14.5,,V,14.5,265,ft^3/s,Approved
1990-01-29,V,11.8,,V,11.8,13.0,V,14.5,,V,14.5,270,ft^3/s,Approved
1990-01-30,V,14.9,,V,14.9,13.2,V,14.7,,V,14.7,250,ft^3/s,Approved
1990-01-31,V,9.5,,V,9.5,13.3,V,14.7,,V,14.7,220,ft^3/s,Approved
1990-02-01,V,13.1,,V,13.1,13.4,V,14.8,,V,14.8,210,ft^3/s,Approved
1990-02-02,V,9.9,,V,9.9,13.5,V,14.9,,V,14.9,240,ft^3/s,Approved
1990-02-03,V,17.1,,V,17.1,13.6,V,14.9,,V,14.9,264,ft^3/s,Approved
1990-02-04,V,17.2,,V,17.2,13.7,V,15.0,,V,15.0,268,ft^3/s,Approved
1990-02-05,V,9.1,,V,9.1,13.8,V,15.1,,V,15.1,259,ft^3/s,Approved
1990-02-06,V,14.2,,V,14.2,13.9,V,15.6,,V,15.6,264,ft^3/s,Approved
1990-02-07,V,3.7,,V,3.7,14.0,V,15.6,,V,15.6,269,ft^3/s,Approved
1990-02-08,V,9.0,,V,9.0,14.2,V,15.9,,V,15.9,265,ft^3/s,Approved
1990-02-09,V,19.8,,V,19.8,14.3,V,16.1,,V,16.1,252,ft^3/s,Approved
1990-02-10,V,27.9,,V,27.9,14.4,V,16.1,,V,16.1,259,ft^3/s,Approved
1990-02-11,V,27.7,,V,27.7,14.5,V,16.2,,V,16.2,267,ft^3/s,Approved
1990-02-12,V,8.8,,V,8.8,14.6,V,16.3,,V,16.3,274,ft^3/s,Approved
1990-02-13,V,-8.1,,V,-8.1,14.7,V,16.3,,V,16.3,230,ft^3/s,Approved
